12 95
-57 72
-16 -79
-58 -82
-97 -78
17 34
-8 1
32 -5
-68 -56
46 -87
19 -28
5 40
-78 -12
-88 -53
-69 -90
64 -3
73 -68
42 -10
-12 64
8 -25
2 -83
-22 -63
-63 66
-95 70
-49 10
-80 100
16 -24
89 -18
60 10
21 -28
-21 90
54 -72
-17 78
96 31
1 12
-100 76
98 48
-87 13
15 90
59 -1
42 53
75 -36
43 17
92 28
-56 -47
94 -36
34 64
-88 18
96 44
97 87
78 -100
33 -40
-65 61
-80 45
53 74
90 -92
52 62
13 92
-30 21
-42 -90
99 7
-53 -23
-43 11
-37 75
-9 41
17 -58
-60 82
-9 30
56 -14
94 -58
-25 -40
-82 65
16 -78
-74 91
-74 -2
-7 -88
30 17
4 3
-94 16
-29 28
-16 -77
-13 55
-78 -40
-10 23
-4 27
52 -100
-24 -99
-20 25
-42 57
96 -13
-53 5
-69 24
-7 84
-57 46
100 38
46 -97
62 34
74 -57
-53 -77
65 26
66 48
22 64
-50 15
-53 -82
-20 24
-88 -44
-9 -80
8 45
7 -35
31 3
-46 -75
98 82
-58 51
51 -18
-83 -57
23 -94
15 -22
72 -83
-19 86
81 10
36 -82
-9 56
21 -39
-100 -81
57 -39
50 51
-49 42
-66 -93
69 -80
19 21
8 36
-65 26
75 47
98 92
-9 -51
18 95
-97 -8
-86 3
-54 8
20 69
51 92
-39 -13
-39 46
-50 41
-90 -56
13 -6
-91 -63
31 -77
86 -52
9 28
-44 -8
31 -20
30 -31
-45 -39
95 -82
-24 98
-45 -89
-35 75
55 -24
-94 6
-37 -38
19 62
-24 -70
90 81
-51 -21
-29 71
14 15
74 -61
79 39
41 59
-23 -48
43 -94
-8 -32
-66 -62
25 40
54 -66
50 -28
68 40
-66 100
-64 -44
-78 -45
94 -33
-98 18
100 63
-99 35
92 15
-55 29
90 76
14 -99
-46 18
-9 -85
50 99
-36 14
-56 60
25 33
24 58
34 74
-25 39
-9 -97
20 -29
